Link,Image Number,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
https://www.ipmimages.org/image.cfm?imgnum=5565657, 5565657', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Recent winged form colonizers and newly produced nymphs.  Photograph taken September 1', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565658, 5565658', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Heavy infestation early in the season (June 29) ', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565659, 5565659', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed stages on stem.  Photograph taken August 31. 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565660, 5565660', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Late stage nymph with wing pads', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565661, 5565661', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form female', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565662, 5565662', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form female', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565663, 5565663', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form.  Photograph taken August 31, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565664, 5565664', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed life stages on hemp, with syrphid egg.  Photograph taken September 11, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)']
https://www.ipmimages.org/image.cfm?imgnum=5565665, 5565665', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Newly molted nymph.  The discarded skin is to the left', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565666, 5565666', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Indicator(s)', 'Description:', 'Plant with cast skins and honeydew', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565668, 5565668', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Late stage nymph with wing pads', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5576293, 5576293', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Oviparous females with one winged male.  Eggs have been laid by the female in the upper part of the the photo.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5576294, 5576294', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Egg(s)', 'Description:', 'Oviparous female with recently produced eggs on hemp leaf.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5576295, 5576295', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Egg(s)', 'Description:', 'Eggs laid on leaves associated with bud of a hemp plant.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5576297, 5576297', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Sign', 'Description:', 'Discarded exuviae on hemp leaf', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565671, 5565671', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Biological Control', 'Description:', 'Wingless adult cannabis aphid," parasitized by a braconid wasp.  The  ""aphid mummy"" is next to a cannabis aphid nymph.'", 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5576296, 5576296', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Egg(s)', 'Description:', 'Eggs laid on leaves associated with bud of a hemp plant. A hatched egg of a syrphid fly is on the left side of the photo.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556164, 5556164', 'palestriped flea beetle (Systena blanda) Melsheimer, 1847', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Adult on hemp.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5556165, 5556165', 'palestriped flea beetle (Systena blanda) Melsheimer, 1847', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Damage', 'Description:', 'Flea beetle injury to hemp leaves.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5569058, 5569058', 'onion thrips (Thrips tabaci) Lindeman, 1889', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Damage', 'Description:', 'Leaf injury to hemp produced by onion thrips', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5569059, 5569059', 'onion thrips (Thrips tabaci) Lindeman, 1889', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Damage', 'Description:', 'Leaf injury to hemp produced by onion thrips', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5569060, 5569060', 'onion thrips (Thrips tabaci) Lindeman, 1889', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Damage', 'Description:', 'Severe leaf injury to hemp produced by onion thrips', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5569061, 5569061', 'twospotted spider mite (Tetranychus urticae) Koch', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Infestation', 'Description:', 'Spider mites dispersing on webbing among hemp plants', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5569062, 5569062', 'twospotted spider mite (Tetranychus urticae) Koch', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Infestation', 'Description:', 'Spider mites dispersing on webbing among hemp plants', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5569207, 5569207', 'hemp russet mite (Aculops cannabicola) (Farkas)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Small numbers of hemp russet mites on the underside of a hemp leaf', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
